timestamp,magn_x,magn_y,magn_z
15,6.3195953,-150.9477,-178.69208
15,6.3195953,-150.9477,-178.69208
37,6.3195953,-150.9477,-178.69208
37,6.3195953,-150.9477,-178.69208
58,6.3195953,-150.9477,-178.69208
58,6.3195953,-150.9477,-178.69208
80,67.4149,-100.22623,-200.4144
80,67.4149,-100.22623,-200.4144
101,67.4149,-100.22623,-200.4144
122,129.95097,-64.228455,-183.69391
122,129.95097,-64.228455,-183.69391
143,129.95097,-64.228455,-183.69391
144,129.95097,-64.228455,-183.69391
165,142.99469,-47.702965,-178.97751
165,142.99469,-47.702965,-178.97751
186,142.99469,-47.702965,-178.97751
186,142.99469,-47.702965,-178.97751
207,163.63051,8.508393,-167.05887
208,163.63051,8.508393,-167.05887
229,163.63051,8.508393,-167.05887
250,163.63051,8.508393,-167.05887
250,163.63051,8.508393,-167.05887
271,180.47754,29.087114,-146.07463
271,180.47754,29.087114,-146.07463
293,180.47754,29.087114,-146.07463
293,180.47754,29.087114,-146.07463
314,180.47754,29.087114,-146.07463
314,180.47754,29.087114,-146.07463
335,207.62859,61.9036,-88.398605
335,207.62859,61.9036,-88.398605
357,209.49763,72.97058,-74.444824
378,209.49763,72.97058,-74.444824
378,209.49763,72.97058,-74.444824
400,209.49763,72.97058,-74.444824
400,209.49763,72.97058,-74.444824
421,209.49763,72.97058,-74.444824
421,209.49763,72.97058,-74.444824
442,215.08313,89.799324,-20.76849
442,215.08313,89.799324,-20.76849
463,215.08313,89.799324,-20.76849
464,215.08313,89.799324,-20.76849
485,215.08313,89.799324,-20.76849
506,215.08313,89.799324,-20.76849
506,215.08313,89.799324,-20.76849
527,213.31537,95.93568,6.9927683
527,213.31537,95.93568,6.9927683
549,213.31537,95.93568,6.9927683
549,213.31537,95.93568,6.9927683
570,182.3,116.45425,89.225105
570,182.3,116.45425,89.225105
591,182.3,116.45425,89.225105
591,182.3,116.45425,89.225105
613,182.3,116.45425,89.225105
613,182.3,116.45425,89.225105
634,167.18073,124.006935,106.90595
655,167.18073,124.006935,106.90595
655,167.18073,124.006935,106.90595
677,167.18073,124.006935,106.90595
677,167.18073,124.006935,106.90595
698,141.48813,126.75487,136.63934
698,141.48813,126.75487,136.63934
719,130.05316,125.989944,148.21844
719,130.05316,125.989944,148.21844
741,103.384346,120.27788,172.04915
741,103.384346,120.27788,172.04915
762,103.384346,120.27788,172.04915
784,80.87338,121.987976,182.5772
784,80.87338,121.987976,182.5772
805,65.00679,122.66323,188.37157
805,65.00679,122.66323,188.37157
826,65.00679,122.66323,188.37157
826,65.00679,122.66323,188.37157
847,33.352272,123.51748,195.92615
847,33.352272,123.51748,195.92615
869,33.352272,123.51748,195.92615
869,33.352272,123.51748,195.92615
890,9.880567,128.04144,195.61125
911,17.867092,126.870674,195.80756
911,17.867092,126.870674,195.80756
933,17.867092,126.870674,195.80756
933,17.867092,126.870674,195.80756
954,41.250984,110.396835,202.15562
954,41.250984,110.396835,202.15562
975,41.250984,110.396835,202.15562
975,41.250984,110.396835,202.15562
997,41.250984,110.396835,202.15562
997,41.250984,110.396835,202.15562
