timestamp,magn_x,magn_y,magn_z
0,0.05194,0.12054,-0.3185
0,0.05194,0.12054,-0.3185
21,0.05194,0.12054,-0.3185
21,0.05194,0.12054,-0.3185
42,0.049560003,0.1155,-0.32312
42,0.049560003,0.1155,-0.32312
63,0.049560003,0.1155,-0.32312
64,0.049560003,0.1155,-0.32312
85,0.04732,0.120400004,-0.32102
85,0.04732,0.120400004,-0.32102
106,0.04732,0.120400004,-0.32102
127,0.05124,0.12138,-0.32242
128,0.05124,0.12138,-0.32242
149,0.05124,0.12138,-0.32242
149,0.05124,0.12138,-0.32242
170,0.05222,0.11998,-0.32466
170,0.05222,0.11998,-0.32466
191,0.05222,0.11998,-0.32466
191,0.05222,0.11998,-0.32466
213,0.05572,0.1211,-0.32676
213,0.05572,0.1211,-0.32676
234,0.05544,0.12166,-0.33292
255,0.05544,0.12166,-0.33292
255,0.05544,0.12166,-0.33292
277,0.04984,0.118300006,-0.28686002
277,0.04984,0.118300006,-0.28686002
298,0.04984,0.118300006,-0.28686002
298,0.04984,0.118300006,-0.28686002
319,0.05488,0.11816,-0.31962
319,0.05488,0.11816,-0.31962
341,0.05488,0.11816,-0.31962
341,0.05488,0.11816,-0.31962
362,0.0539,0.11984,-0.31598002
384,0.053620003,0.14028001,-0.33558002
384,0.053620003,0.14028001,-0.33558002
405,0.053620003,0.14028001,-0.33558002
405,0.053620003,0.14028001,-0.33558002
426,0.07238,0.13076,-0.34804
426,0.07238,0.13076,-0.34804
447,0.07238,0.13076,-0.34804
447,0.07238,0.13076,-0.34804
469,0.083160006,0.105560005,-0.33614
469,0.083160006,0.105560005,-0.33614
490,0.083160006,0.105560005,-0.33614
511,0.10514,0.09576,-0.33544
511,0.10514,0.09576,-0.33544
533,0.09464,0.09492,-0.33740002
533,0.09464,0.09492,-0.33740002
554,0.09464,0.09492,-0.33740002
554,0.09464,0.09492,-0.33740002
576,0.09464,0.09492,-0.33740002
576,0.09464,0.09492,-0.33740002
597,0.09464,0.09492,-0.33740002
597,0.09464,0.09492,-0.33740002
618,0.13426,0.10332,-0.35364002
639,0.13426,0.10332,-0.35364002
639,0.13426,0.10332,-0.35364002
661,0.13426,0.10332,-0.35364002
661,0.13426,0.10332,-0.35364002
682,0.13426,0.10332,-0.35364002
682,0.13426,0.10332,-0.35364002
703,0.13426,0.10332,-0.35364002
703,0.13426,0.10332,-0.35364002
725,0.28504002,0.14182,-0.32102
725,0.28504002,0.14182,-0.32102
746,0.28504002,0.14182,-0.32102
767,0.28504002,0.14182,-0.32102
767,0.28504002,0.14182,-0.32102
789,0.28504002,0.14182,-0.32102
789,0.28504002,0.14182,-0.32102
810,0.31710002,0.19348,-0.32410002
810,0.31710002,0.19348,-0.32410002
832,0.31710002,0.19348,-0.32410002
832,0.31710002,0.19348,-0.32410002
853,0.26628,0.15442,-0.33670002
853,0.26628,0.15442,-0.33670002
874,0.22302,0.12320001,-0.34608
874,0.22302,0.12320001,-0.34608
895,0.22302,0.12320001,-0.34608
917,0.16646,0.10486,-0.35126
917,0.16646,0.10486,-0.35126
938,0.16646,0.10486,-0.35126
938,0.16646,0.10486,-0.35126
959,0.108500004,0.11242,-0.37268
959,0.108500004,0.11242,-0.37268
981,0.108500004,0.11242,-0.37268
981,0.108500004,0.11242,-0.37268
1002,0.02002,0.13118,-0.34846002
1002,0.02002,0.13118,-0.34846002
1023,0.02002,0.13118,-0.34846002
1045,-0.060620002,0.13048,-0.30940002
1045,-0.060620002,0.13048,-0.30940002
1066,-0.084,0.1253,-0.30128002
1066,-0.084,0.1253,-0.30128002
1087,-0.084,0.1253,-0.30128002
1087,-0.084,0.1253,-0.30128002
1109,-0.08652,0.13118,-0.30352
1109,-0.08652,0.13118,-0.30352
1131,-0.08652,0.13118,-0.30352
1131,-0.08652,0.13118,-0.30352
1151,-0.07588,0.13958,-0.3269
1173,-0.07588,0.13958,-0.3269
